month, rsdt, rsut, rsutcs, rsus, rsuscs, rsds, rsdscs, rlut, rlutcs, rlus, rlds, rldscs,
0.00000, 351.744, 104.099, 56.4046, 26.9921, 33.0416, 199.271, 255.583, 237.306, 260.015, 387.039, 331.508, 304.930,
1.00000, 349.040, 102.616, 56.0180, 26.2389, 32.3816, 197.789, 253.035, 237.769, 259.996, 387.861, 331.703, 305.357,
2.00000, 344.061, 101.423, 55.9516, 26.3920, 33.1459, 195.363, 249.905, 237.514, 260.858, 391.839, 334.435, 308.036,
3.00000, 338.107, 99.9041, 56.6489, 26.9400, 34.0778, 192.545, 245.141, 239.075, 262.759, 397.361, 338.883, 312.246,
4.00000, 333.102, 98.9093, 56.6213, 27.1372, 34.3594, 189.149, 240.749, 240.019, 264.641, 401.903, 342.739, 316.542,
5.00000, 329.962, 96.2659, 54.3493, 24.9928, 31.7407, 185.957, 236.588, 243.284, 266.965, 406.259, 347.071, 321.302,
6.00000, 329.739, 93.9255, 52.6941, 23.4714, 29.4224, 185.491, 234.411, 244.420, 267.182, 407.097, 348.400, 323.750,
7.00000, 332.173, 93.4614, 51.0332, 21.8381, 27.4698, 186.348, 236.204, 244.908, 267.511, 407.243, 349.084, 323.923,
8.00000, 336.822, 95.6036, 51.2349, 22.2238, 27.9269, 189.800, 241.955, 243.133, 266.028, 403.838, 345.025, 319.023,
9.00000, 342.606, 99.8652, 54.2602, 25.3626, 31.5944, 194.672, 248.956, 240.658, 263.682, 398.537, 340.171, 313.366,
10.0000, 347.969, 103.671, 57.4624, 28.8838, 35.3521, 199.496, 254.782, 238.547, 261.533, 392.184, 334.742, 307.944,
11.0000, 351.496, 104.817, 57.2648, 28.0310, 34.3284, 199.558, 256.152, 237.784, 260.647, 389.407, 333.500, 306.558,
12.0000, 351.839, 103.720, 56.1661, 26.7305, 32.7741, 199.451, 255.634, 238.178, 260.770, 388.243, 332.459, 305.882,
13.0000, 348.968, 102.642, 55.7398, 25.9336, 31.9991, 197.290, 252.784, 237.695, 260.167, 388.750, 332.713, 306.562,
14.0000, 343.994, 100.779, 55.6935, 25.8738, 32.7245, 195.278, 249.582, 238.477, 261.499, 393.205, 336.204, 309.657,
15.0000, 337.990, 100.379, 57.3456, 27.4273, 34.6555, 192.115, 244.577, 239.353, 263.275, 398.402, 340.598, 314.284,
16.0000, 333.000, 98.6479, 56.8035, 26.9366, 34.1151, 188.492, 239.657, 240.696, 264.729, 403.061, 344.964, 318.816,
17.0000, 330.090, 96.0452, 54.3393, 24.9732, 31.6242, 186.182, 236.509, 243.150, 266.706, 406.273, 347.279, 321.570,
18.0000, 329.765, 93.9692, 52.6378, 23.4092, 29.4214, 185.518, 234.630, 244.958, 267.995, 408.025, 348.901, 323.859,
19.0000, 332.197, 94.6122, 51.3073, 21.8487, 27.5555, 185.257, 236.123, 244.669, 267.657, 407.491, 349.467, 323.938,
20.0000, 336.823, 96.1354, 51.8654, 22.6095, 28.1785, 189.743, 241.698, 244.140, 266.603, 403.321, 344.415, 318.703,
21.0000, 342.603, 101.241, 54.9664, 25.8060, 32.0922, 193.825, 248.900, 240.663, 263.759, 397.592, 339.506, 312.525,
22.0000, 347.890, 103.746, 57.8591, 29.2405, 35.5616, 199.698, 254.557, 239.319, 262.049, 392.429, 334.578, 307.987,
23.0000, 351.472, 104.973, 57.5720, 28.4596, 34.8870, 200.146, 256.776, 238.381, 260.879, 388.364, 332.331, 305.341,
24.0000, 351.886, 103.891, 56.3208, 26.9504, 32.7613, 199.584, 255.662, 238.078, 260.377, 387.873, 331.769, 305.199,
25.0000, 348.944, 101.553, 55.1436, 25.7122, 31.7242, 198.389, 253.295, 238.171, 260.397, 389.264, 332.869, 306.702,
26.0000, 343.934, 101.043, 55.6568, 25.7300, 32.2493, 194.804, 249.023, 238.231, 261.430, 392.850, 335.875, 309.784,
27.0000, 338.164, 99.5718, 56.5759, 26.7010, 33.6809, 192.555, 244.690, 238.966, 262.805, 397.800, 339.692, 313.570,
28.0000, 333.078, 98.5742, 56.4357, 26.8499, 33.8869, 189.030, 240.262, 240.311, 264.841, 402.877, 344.121, 317.654,
29.0000, 330.052, 96.4776, 54.2200, 24.9165, 31.4724, 185.711, 236.403, 242.527, 266.771, 406.678, 347.817, 322.000,
30.0000, 329.558, 94.4301, 52.6426, 23.1635, 29.1981, 184.433, 234.067, 244.438, 267.649, 408.234, 349.801, 324.822,
31.0000, 332.216, 94.8334, 51.1582, 21.6626, 27.4664, 185.091, 236.480, 243.652, 266.946, 406.765, 348.639, 322.772,
32.0000, 336.860, 96.3777, 51.4923, 22.3237, 28.1421, 189.526, 242.367, 243.265, 266.215, 402.972, 344.291, 317.831,
33.0000, 342.573, 99.7259, 54.7925, 25.8194, 31.9783, 195.557, 249.055, 241.115, 263.963, 397.938, 339.205, 312.622,
34.0000, 348.024, 104.817, 58.1073, 28.9706, 35.6105, 198.539, 254.630, 238.598, 261.727, 392.211, 334.906, 307.299,
35.0000, 351.414, 105.546, 58.1046, 28.6519, 35.1519, 199.829, 256.533, 237.775, 260.854, 388.932, 332.804, 305.623,
36.0000, 351.832, 105.244, 56.7947, 27.0943, 33.1465, 198.021, 255.345, 238.597, 260.532, 386.678, 331.580, 305.097,
37.0000, 348.792, 102.929, 55.2946, 25.7399, 31.7980, 196.512, 252.819, 238.427, 260.765, 388.798, 333.111, 306.587,
38.0000, 343.722, 100.593, 55.9097, 25.9402, 32.6638, 195.312, 249.093, 238.777, 261.392, 392.316, 334.964, 308.689,
39.0000, 338.002, 101.537, 58.4292, 27.4971, 34.6665, 190.901, 243.527, 239.433, 262.638, 396.739, 339.580, 313.150,
40.0000, 333.002, 99.8946, 57.6615, 27.3124, 34.4530, 188.232, 239.839, 241.285, 265.056, 402.503, 343.670, 317.181,
41.0000, 329.830, 97.5030, 55.0596, 24.7854, 31.4822, 184.255, 235.476, 243.019, 266.628, 406.332, 348.155, 322.035,
42.0000, 329.639, 95.4437, 53.5266, 23.1644, 29.1491, 183.471, 233.239, 244.309, 267.460, 407.965, 350.412, 324.957,
43.0000, 332.092, 95.1005, 52.2031, 21.7937, 27.4140, 184.657, 235.124, 244.284, 267.036, 406.722, 348.707, 323.231,
44.0000, 336.813, 96.5561, 52.6420, 22.2794, 27.8585, 188.649, 240.373, 243.142, 265.625, 403.392, 344.748, 318.436,
45.0000, 342.630, 101.214, 55.8298, 25.4721, 31.5743, 193.516, 247.562, 240.399, 263.308, 397.903, 339.371, 312.340,
46.0000, 347.964, 105.436, 59.3570, 28.8309, 34.9973, 197.766, 252.773, 238.159, 261.149, 392.072, 335.249, 308.410,
47.0000, 351.360, 105.586, 59.4492, 28.0613, 34.0550, 199.392, 254.319, 238.073, 260.726, 389.947, 333.564, 307.135,
48.0000, 351.749, 106.373, 58.6640, 26.4599, 32.2760, 196.326, 252.738, 238.037, 260.338, 389.422, 334.750, 308.037,
49.0000, 348.903, 103.355, 57.0149, 25.4892, 31.3504, 196.350, 251.116, 238.499, 260.779, 390.836, 335.316, 309.286,
50.0000, 343.817, 102.158, 58.0417, 25.8532, 32.2825, 194.117, 247.098, 239.927, 262.332, 393.950, 337.248, 311.183,
51.0000, 337.989, 101.777, 59.1372, 26.7159, 33.6446, 190.283, 242.247, 239.779, 262.768, 398.313, 341.360, 314.823,
52.0000, 332.942, 99.9722, 58.6535, 26.8078, 33.9713, 187.868, 238.605, 240.281, 264.098, 402.346, 344.452, 317.914,
53.0000, 329.941, 97.9012, 56.6825, 24.8934, 31.3142, 184.678, 234.362, 241.937, 265.878, 406.711, 348.196, 322.172,
54.0000, 329.678, 96.4133, 54.6151, 23.0825, 29.0506, 183.354, 233.083, 243.967, 267.172, 408.145, 349.708, 323.792,
55.0000, 332.146, 94.7100, 52.5620, 21.6689, 27.2382, 185.645, 235.258, 244.508, 266.895, 407.262, 348.777, 323.432,
56.0000, 336.762, 97.4849, 52.8809, 22.1168, 27.7895, 188.336, 240.804, 242.763, 265.740, 403.691, 345.352, 318.903,
57.0000, 342.498, 100.535, 55.8389, 25.4993, 31.4621, 194.713, 247.851, 241.026, 263.721, 398.180, 339.341, 312.832,
58.0000, 347.908, 104.463, 58.6601, 28.5929, 34.9900, 198.702, 253.625, 238.839, 261.472, 392.062, 334.472, 307.923,
59.0000, 351.306, 105.697, 58.4532, 28.1775, 34.3874, 199.066, 255.367, 238.297, 260.837, 389.831, 333.922, 306.937,
60.0000, 351.513, 104.812, 57.0255, 26.6802, 32.4358, 198.292, 254.602, 238.586, 260.546, 387.979, 332.102, 305.801,
61.0000, 348.756, 102.644, 55.7397, 25.3948, 31.2866, 196.900, 252.277, 238.584, 260.744, 389.930, 333.726, 307.570,
62.0000, 343.816, 101.412, 56.1820, 25.4447, 32.1378, 193.992, 248.399, 238.499, 261.382, 393.266, 336.918, 310.290,
63.0000, 337.833, 100.104, 57.9998, 26.7596, 33.5825, 191.659, 242.786, 239.729, 262.859, 397.854, 339.858, 314.055,
64.0000, 332.853, 99.3367, 57.1137, 26.7934, 33.8836, 188.223, 239.806, 241.055, 264.614, 402.213, 343.490, 317.090,
65.0000, 329.933, 96.1444, 54.7183, 24.7723, 31.2782, 186.181, 236.071, 242.614, 266.163, 405.758, 346.101, 320.643,
66.0000, 329.630, 93.9766, 53.1020, 23.1404, 29.0802, 185.414, 233.943, 244.379, 267.324, 407.830, 348.546, 323.841,
67.0000, 332.031, 93.4279, 51.9462, 21.9116, 27.3183, 186.735, 235.348, 244.534, 267.098, 407.142, 348.226, 323.621,
68.0000, 336.665, 95.5746, 52.0565, 22.2437, 27.7178, 189.993, 240.990, 243.450, 266.046, 403.734, 344.475, 319.044,
69.0000, 342.414, 100.710, 55.2063, 25.4249, 31.5496, 194.145, 248.256, 241.011, 263.910, 398.100, 339.700, 312.848,
